ID;Type;SKU;Name;Published;Is featured?;Visibility in catalog;Short description;Description;Date sale price starts;Date sale price ends;Tax status;Tax class;In stock?;Stock;Backorders allowed?;Sold individually?;Weight (kg);Length (cm);Width (cm);Height (cm);Allow customer reviews?;Purchase note;Sale price;Regular price;Categories;Tags;Shipping class;Images;Download limit;Download expiry days;Parent;Grouped products;Upsells;Cross-sells;External URL;Button text;Attribute 1 name;Attribute 1 value(s);Attribute 1 visible;Attribute 1 global
151;simple;woo-tshirt;T-Shirt;1;0;visible;This is a simple product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;;18;T-Shirts;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/tshirt.jpg;;;;;;;;;Color;Gray;1;1
152;variable;woo-vneck-tee;V-Neck T-Shirt;1;1;visible;This is a variable product.;Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.;;;taxable;;1;;0;0;;;;;1;;;18;T-Shirts;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/vneck-tee.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png;;;;;;;;;Color;Blue, Green, Red;1;1
156;grouped;woo-design-your-outfit;Design your outfit;1;0;visible;This is a grouped product.;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.;;;taxable;;1;;0;0;;;;;1;;;;Hoodies, Accessories, T-Shirts;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/tshirt.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/beanie.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/hoodie-with-logo.jpg;;;;woo-tshirt,woo-beanie,woo-hoodie-with-logo;;;;;;;;
157;grouped;woo-accessorize;Accessorize yourself;1;0;visible;This is a grouped product;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.;;;taxable;;1;;0;0;;;;;1;;;;Accessories;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/beanie.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/sunglasses.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/belt.jpg, https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/cap.jpg;;;;woo-beanie,woo-sunglasses,woo-belt,woo-cap;;;;;;;;
158;simple, downloadable, virtual;woo-album;Album;1;0;visible;This is a simple, virtual product.;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.;;;taxable;;1;;0;0;;;;;1;;;15;Music;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png;'-1;'-1;;;;;;;;;;
159;simple, downloadable, virtual;woo-single;Single;1;0;visible;This is a simple, virtual product.;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.;;;taxable;;1;;0;0;;;;;1;;2;3;Music;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png;'-1;'-1;;;;;;;;;;
171;variation;woo-vneck-tee-red;V-Neck T-Shirt - Red;1;0;visible;;;;;taxable;;1;;0;0;;;;;0;;;20;;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/vneck-tee.jpg;;;woo-vneck-tee;;;;;;Color;Red;;1
172;variation;woo-vneck-tee-green;V-Neck T-Shirt - Green;1;0;visible;;;;;taxable;;1;;0;0;;;;;0;;;20;;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png;;;woo-vneck-tee;;;;;;Color;Green;;1
173;variation;woo-vneck-tee-blue;V-Neck T-Shirt - Blue;1;0;visible;;;;;taxable;;1;;0;0;;;;;0;;;15;;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png;;;woo-vneck-tee;;;;;;Color;Blue;;1
181;variation;woo-hoodie-red;Hoodie - Red;1;0;visible;;;;;taxable;;1;;0;0;;;;;0;;42;45;;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/hoodie.jpg;;;woo-hoodie;;;;;;Color;Red;;1
182;variation;woo-hoodie-green;Hoodie - Green;1;0;visible;;;;;taxable;;1;;0;0;;;;;0;;;45;;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png;;;woo-hoodie;;;;;;Color;Green;;1
183;variation;woo-hoodie-blue;Hoodie - Blue;1;0;visible;;;;;taxable;;1;;0;0;;;;;0;;;45;;;;https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/placeholder1.png;;;woo-hoodie;;;;;;Color;Blue;;1
